Id	Polaridad	Happiness	Anger	Fear	Repulsion	Surprise	Sadness	interest
247	0	0	0	0	0	0	0	Unidentified
248	0	0,35	0	0	0	0	0	Unidentified
249	0	0,7	0	0	0	0	0	Unidentified
250	0	0	0	0	0	0	0	Unidentified
251	0	0	0	0	0	0	0	Unidentified
252	0	0	0	0	0	0	0	Unidentified
253	0	0	0	0	0	0	0	Unidentified
254	0	0	0	0	0	0	0	Technology
255	0	0,35	0	0	0	0	0	Technology
256	0	0,35	0	0	0	0	0	Unidentified
257	0	0	0	0	0	0	0	Unidentified
258	0	0	0	0	0	0	0	Unidentified
259	0	0	0	0	0	0	0	Unidentified
260	0	0	0	0	0	0	0	Unidentified
261	0	0	0	0	0	0	0	Technology
262	0	0	0	0	0	0	0	Technology
263	0	0,35	0	0	0	0	0	Unidentified
264	0	0	0	0	0	0	0	Unidentified
265	0	0	0	0	0	0	0	Unidentified
266	0	0	0	0	0	0	0	Unidentified
267	0	0	0	0	0	0	0	Unidentified
268	0	0	0	0	0	0	0	Technology
269	0	0	0	0	0	0	0	Technology
270	0	0,35	0	0	0	0	0	Unidentified
271	0	0	0	0	0	0	0	Unidentified
272	0	0	0	0	0	0	0	Unidentified
273	0	0	0	0	0	0	0	Unidentified
274	0	0	0	0	0	0	0	Unidentified
275	0	0	0	0	0	0	0	Technology
276	0	0	0	0	0	0	0	Technology
277	0	0,7	0	0	0	0	0	Technology
278	0	0	0	0	0	0	0	Unidentified
279	0	0	0	0	0	0	0	Unidentified
280	0	0	0	0	0	0	0	Technology
281	0	0	0	0	0	0	0	Technology
282	0	0	0	0	0	0	0	Technology
283	0	0,35	0	0	0	0	0	Technology
284	0	0,7	0	0	0	0	0	Technology
285	0	0	0	0	0	0	0	Unidentified
286	0	0	0	0	0	0	0	Unidentified
287	0	0	0	0	0	0	0	Technology
288	0	0	0	0	0	0	0	Technology
289	0	0	0	0	0	0	0	Technology
290	0	0,35	0	0	0	0	0	Technology
291	0	0,7	0	0	0	0	0	Technology
292	0	0	0	0	0	0	0	Unidentified
293	0	0	0	0	0	0	0	Unidentified
294	0	0	0	0	0	0	0	Technology
295	0	0	0	0	0	0	0	Technology
296	0	0	0	0	0	0	0	Technology
297	0	0,35	0	0	0	0	0	Technology
298	0	0,35	0	0	0	0	0	Technology
299	0	0	0	0	0	0	0	Unidentified
